User,Card,Year,Month,Day,Time,Amount,Use Chip,Merchant Name,Merchant City,Merchant State,Zip,MCC,Errors?,Is Fraud?
102,0,2002,9,1,06:21,2.08,Swipe Transaction,3527213246127876953,La Verne,CA,91750.0,5300,,No
435,0,2002,9,1,06:42,5.59,Swipe Transaction,-727612092139916043,Monterey Park,CA,91754.0,5411,,No
348,0,2002,9,2,06:22,132.12,Swipe Transaction,-727612092139916043,Monterey Park,CA,91754.0,5411,,No
270,0,2002,9,2,17:45,60.91,Swipe Transaction,3414527459579106770,Monterey Park,CA,91754.0,5651,,No
106,0,2002,9,3,06:23,118.74,Swipe Transaction,5817218446178736267,La Verne,CA,91750.0,5912,,No
71,0,2002,9,3,13:53,170.42,Swipe Transaction,-7146670748125200898,Monterey Park,CA,91755.0,5970,,No
188,0,2002,9,4,05:51,264.03,Swipe Transaction,-727612092139916043,Monterey Park,CA,91754.0,5411,,No
20,0,2002,9,4,06:09,62.88,Swipe Transaction,-727612092139916043,Monterey Park,CA,91754.0,5411,,No
102,0,2002,9,5,06:14,1.0,Swipe Transaction,-727612092139916043,Monterey Park,CA,91754.0,5411,,No
121,0,2002,9,5,09:35,243.78,Swipe Transaction,4055257078481058705,La Verne,CA,91750.0,7538,,No
466,0,2002,9,5,20:18,1.0,Swipe Transaction,-4500542936415012428,La Verne,CA,91750.0,5814,,No
214,0,2002,9,5,20:41,1.0,Online Transaction,-9092677072201095172,ONLINE,,,4900,,No
330,0,2002,9,6,06:16,241.55,Swipe Transaction,2027553650310142703,Mira Loma,CA,91752.0,5541,,No
458,0,2002,9,7,06:16,181.55,Swipe Transaction,-727612092139916043,Monterey Park,CA,91754.0,5411,,No
87,0,2002,9,7,06:34,131.73,Swipe Transaction,-5475680618560174533,Monterey Park,CA,91755.0,5942,,No
372,0,2002,9,7,09:39,85.9,Swipe Transaction,4055257078481058705,La Verne,CA,91750.0,7538,,No
99,0,2002,9,8,06:10,69.68,Swipe Transaction,-34551508091458520,La Verne,CA,91750.0,5912,,No
359,0,2002,9,8,06:38,34.4,Swipe Transaction,4060646732831064559,La Verne,CA,91750.0,5411,,No
151,0,2002,9,8,13:48,65.92,Swipe Transaction,-727612092139916043,Monterey Park,CA,91754.0,5411,,No
130,0,2002,9,8,22:01,86.11,Swipe Transaction,-6733168469687845480,Mira Loma,CA,91752.0,7832,,No
149,0,2002,9,9,06:54,1.0,Swipe Transaction,4060646732831064559,La Verne,CA,91750.0,5411,,No
308,0,2002,9,9,09:40,19.89,Swipe Transaction,-3345936507911876459,La Verne,CA,91750.0,7538,Technical Glitch,No
257,0,2002,9,9,13:19,1.0,Swipe Transaction,3189517333335617109,La Verne,CA,91750.0,5311,,No
343,0,2002,9,9,13:31,96.85,Swipe Transaction,4060646732831064559,La Verne,CA,91750.0,5411,,No
491,0,2002,9,9,20:02,96.87,Online Transaction,-8338381919281017248,ONLINE,,,4899,,No
413,0,2002,9,10,06:20,242.59,Swipe Transaction,-4282466774399734331,Mira Loma,CA,91752.0,4829,,No
293,0,2002,9,10,06:22,122.36,Swipe Transaction,3527213246127876953,La Verne,CA,91750.0,5300,,No
